canton_home,number_home,canton_work,number_work,num_people
ZH,1,ZH,1,147
ZH,1,ZH,2,106
ZH,1,ZH,3,5
ZH,1,ZH,4,7
ZH,1,ZH,5,8
ZH,1,ZH,9,8
ZH,1,ZH,13,14
ZH,1,ZH,14,6
ZH,1,ZH,62,10
ZH,1,ZH,66,9
ZH,1,ZH,96,5
ZH,1,ZH,131,19
ZH,1,ZH,133,9
ZH,1,ZH,135,9
ZH,1,ZH,139,6
ZH,1,ZH,141,9
ZH,1,ZH,142,5
ZH,1,ZH,191,6
ZH,1,ZH,242,6
ZH,1,ZH,243,9
ZH,1,ZH,247,11
ZH,1,ZH,248,8
ZH,1,ZH,250,11
ZH,1,ZH,261,352
ZH,1,ZH,7777,38
ZH,1,BE,7777,6
ZH,1,LU,1061,9
ZH,1,LU,7777,14
ZH,1,SZ,7777,8
ZH,1,ZG,1701,46
ZH,1,ZG,1702,7
ZH,1,ZG,1707,7
ZH,1,ZG,1708,22
ZH,1,ZG,1711,48
ZH,1,ZG,7777,5
ZH,1,AG,7777,34
ZH,1,ZZ,7777,11
ZH,2,ZH,1,66
ZH,2,ZH,2,1972
ZH,2,ZH,3,31
ZH,2,ZH,4,29
ZH,2,ZH,5,166
ZH,2,ZH,6,9
ZH,2,ZH,7,18
ZH,2,ZH,9,151
ZH,2,ZH,10,58
ZH,2,ZH,11,48
ZH,2,ZH,12,6
ZH,2,ZH,13,19
ZH,2,ZH,14,43
ZH,2,ZH,52,8
ZH,2,ZH,54,9
ZH,2,ZH,62,40
ZH,2,ZH,66,25
ZH,2,ZH,69,30
ZH,2,ZH,83,6
ZH,2,ZH,96,18
ZH,2,ZH,97,10
ZH,2,ZH,131,68
ZH,2,ZH,133,19
ZH,2,ZH,135,24
ZH,2,ZH,136,11
ZH,2,ZH,137,7
ZH,2,ZH,138,13
ZH,2,ZH,139,6
ZH,2,ZH,141,14
ZH,2,ZH,142,21
ZH,2,ZH,154,9
ZH,2,ZH,156,6
ZH,2,ZH,161,7
ZH,2,ZH,172,6
ZH,2,ZH,191,28
ZH,2,ZH,198,9
ZH,2,ZH,199,13
ZH,2,ZH,200,9
ZH,2,ZH,230,10
ZH,2,ZH,242,25
ZH,2,ZH,243,64
ZH,2,ZH,244,9
ZH,2,ZH,247,130
ZH,2,ZH,248,13
ZH,2,ZH,250,36
ZH,2,ZH,261,1391
ZH,2,ZH,7777,70
ZH,2,BE,351,17
ZH,2,BE,7777,5
ZH,2,LU,1024,13
ZH,2,LU,1031,5
ZH,2,LU,1040,5
ZH,2,LU,1052,6
ZH,2,LU,1054,12
ZH,2,LU,1059,11
ZH,2,LU,1061,44
ZH,2,LU,1065,15
ZH,2,LU,7777,29
ZH,2,SZ,1322,13
ZH,2,SZ,1331,7
ZH,2,SZ,1372,11
ZH,2,SZ,7777,12
ZH,2,ZG,1701,152
ZH,2,ZG,1702,83
ZH,2,ZG,1703,30
ZH,2,ZG,1704,8
ZH,2,ZG,1705,5
ZH,2,ZG,1707,43
ZH,2,ZG,1708,74
ZH,2,ZG,1711,267
ZH,2,ZG,7777,6
ZH,2,SO,7777,12
ZH,2,BS,2701,12
ZH,2,BL,7777,12
ZH,2,SG,3340,8
ZH,2,SG,7777,10
ZH,2,AG,4001,8
ZH,2,AG,4003,6
ZH,2,AG,4021,30
ZH,2,AG,4034,5
ZH,2,AG,4040,14
ZH,2,AG,4045,9
ZH,2,AG,4061,11
ZH,2,AG,4063,7
ZH,2,AG,4071,13
ZH,2,AG,4073,9
ZH,2,AG,4080,10
ZH,2,AG,4082,9
ZH,2,AG,4201,6
ZH,2,AG,4234,51
ZH,2,AG,4236,55
ZH,2,AG,4239,6
ZH,2,AG,7777,66
ZH,2,TG,7777,8
ZH,2,ZZ,7777,24
ZH,3,ZH,2,124
ZH,3,ZH,3,348
ZH,3,ZH,4,9
ZH,3,ZH,5,36
ZH,3,ZH,9,12
ZH,3,ZH,10,8
ZH,3,ZH,13,28
ZH,3,ZH,14,62
ZH,3,ZH,62,21
ZH,3,ZH,66,23
ZH,3,ZH,69,29
ZH,3,ZH,96,10
ZH,3,ZH,97,6
ZH,3,ZH,131,33
ZH,3,ZH,133,15
ZH,3,ZH,135,15
ZH,3,ZH,136,8
ZH,3,ZH,139,8
ZH,3,ZH,141,16
ZH,3,ZH,142,14
ZH,3,ZH,154,12
ZH,3,ZH,161,11
ZH,3,ZH,191,15
ZH,3,ZH,199,9
ZH,3,ZH,200,5
ZH,3,ZH,230,9
ZH,3,ZH,242,86
ZH,3,ZH,243,51
ZH,3,ZH,247,52
ZH,3,ZH,248,5
ZH,3,ZH,250,87
ZH,3,ZH,261,1240
ZH,3,ZH,7777,89
ZH,3,BE,351,13
ZH,3,LU,1024,10
ZH,3,LU,1061,14
ZH,3,LU,7777,16
ZH,3,SZ,1322,5
ZH,3,SZ,1323,6
ZH,3,SZ,7777,8
ZH,3,ZG,1701,24
ZH,3,ZG,1702,15
ZH,3,ZG,1707,14
ZH,3,ZG,1708,15
ZH,3,ZG,1711,51
ZH,3,BS,2701,6
ZH,3,BL,7777,6
ZH,3,SG,3203,5
ZH,3,SG,7777,6
