,country,date
0,Albania,2020-03-13
1,Algeria,2020-03-23
2,Argentina,2020-03-19
3,Armenia,2020-03-24
4,Australia,2020-03-23
5,Austria,2020-03-16
6,Azerbaijan,2020-03-31
7,Bangladesh,2020-03-26
8,Barbados,2020-03-28
9,Belgium,2020-03-18
10,Bermuda,2020-04-04
11,Bolivia,2020-03-22
12,Botswana,2020-04-02
13,Brazil,2020-03-17
14,Brazil,2020-03-24
15,Chile,2020-03-19
16,Colombia,2020-03-25
17,Republic of the Congo,2020-03-31
18,Costa Rica,2020-03-23
19,Croatia,2020-03-18
20,Cuba,2020-03-23
21,Czech Republic,2020-03-16
22,Denmark,2020-03-11
23,Dominican Republic,2020-03-19
24,Ecuador,2020-03-16
25,El Salvador,2020-03-12
26,Eritrea,2020-04-02
27,Fiji,2020-03-20
28,Fiji,2020-04-03
29,Finland,2020-03-27
30,France,2020-03-17
31,Georgia,2020-03-31
32,Germany,2020-03-23
33,Ghana,2020-03-30
34,Ghana,2020-03-30
35,Greece,2020-03-23
36,Guernsey,2020-03-25
37,Honduras,2020-03-20
38,Hungary,2020-03-28
39,India,2020-03-25
40,Iran,2020-03-14
41,Iraq,2020-03-22
42,Ireland,2020-03-12
43,Israel,2020-04-02
44,Italy,2020-03-09
45,Jamaica,2020-04-15
46,Jordan,2020-03-18
47,Kosovo,2020-03-14
48,Kuwait,2020-03-14
49,Lebanon,2020-03-15
50,Liberia,2020-03-23
51,Liberia,2020-03-23
52,Libya,2020-03-22
53,Lithuania,2020-03-16
54,Luxembourg,2020-03-18
55,Madagascar,2020-03-23
56,Madagascar,2020-03-23
57,Malaysia,2020-03-18
58,Mongolia,2020-03-10
59,Montenegro,2020-03-24
60,Morocco,2020-03-19
61,Namibia,2020-03-27
62,Nepal,2020-03-24
63,Netherlands,2020-03-16
64,New Zealand,2020-03-26
65,Nigeria,2020-03-30
66,Nigeria,2020-03-30
67,Nigeria,2020-03-30
68,Northern Cyprus,2020-03-30
69,Norway,2020-03-12
70,Oman,2020-04-10
71,Oman,2020-04-16
72,Pakistan,2020-03-24
73,Panama,2020-03-25
74,Papua New Guinea,2020-03-24
75,Paraguay,2020-03-20
76,Peru,2020-03-16
77,Philippines,2020-03-27
78,Philippines,2020-03-19
79,Philippines,2020-03-15
80,Philippines,2020-03-23
81,Poland,2020-03-13
82,Portugal,2020-03-19
83,Qatar,2020-03-11
84,Romania,2020-03-25
85,Russia,2020-03-30
86,Russia,2020-03-28
87,Rwanda,2020-03-21
88,Samoa,2020-03-26
89,San Marino,2020-03-14
90,Saudi Arabia,2020-03-29
91,Saudi Arabia,2020-03-26
92,Saudi Arabia,2020-03-26
93,Saudi Arabia,2020-03-09
94,Saudi Arabia,2020-03-26
95,Serbia,2020-03-15
96,Singapore,2020-04-07
97,Slovakia,2020-03-16
98,South Africa,2020-03-26
99,Spain,2020-03-14
100,Switzerland,2020-03-17
101,Thailand,2020-03-25
102,Trinidad and Tobago,2020-03-17
103,Tunisia,2020-03-22
104,Turkey,2020-04-23
105,Ukraine,2020-03-17
106,United Arab Emirates,2020-03-26
107,United Kingdom,2020-03-23
108,United States,2020-03-19
109,United States,2020-03-20
110,United States,2020-03-23
111,United States,2020-03-21
112,United States,2020-03-24
113,United States,2020-03-24
114,United States,2020-03-24
115,United States,2020-03-20
116,United States,2020-03-24
117,United States,2020-03-24
118,Venezuela,2020-03-17
119,Zimbabwe,2020-03-30
