home,work,people
ZH,ZH,147
ZH,ZH,106
ZH,ZH,5
ZH,ZH,7
ZH,ZH,8
ZH,ZH,8
ZH,ZH,14
ZH,ZH,6
ZH,ZH,10
ZH,ZH,9
ZH,ZH,5
ZH,ZH,19
ZH,ZH,9
ZH,ZH,9
ZH,ZH,6
ZH,ZH,9
ZH,ZH,5
ZH,ZH,6
ZH,ZH,6
ZH,ZH,9
ZH,ZH,11
ZH,ZH,8
ZH,ZH,11
ZH,ZH,352
ZH,ZH,38
ZH,BE,6
ZH,LU,9
ZH,LU,14
ZH,SZ,8
ZH,ZG,46
ZH,ZG,7
ZH,ZG,7
ZH,ZG,22
ZH,ZG,48
ZH,ZG,5
ZH,AG,34
ZH,ZZ,11
ZH,ZH,66
ZH,ZH,1972
ZH,ZH,31
ZH,ZH,29
ZH,ZH,166
ZH,ZH,9
ZH,ZH,18
ZH,ZH,151
ZH,ZH,58
ZH,ZH,48
ZH,ZH,6
ZH,ZH,19
ZH,ZH,43
ZH,ZH,8
ZH,ZH,9
ZH,ZH,40
ZH,ZH,25
ZH,ZH,30
ZH,ZH,6
ZH,ZH,18
ZH,ZH,10
ZH,ZH,68
ZH,ZH,19
ZH,ZH,24
ZH,ZH,11
ZH,ZH,7
ZH,ZH,13
ZH,ZH,6
ZH,ZH,14
ZH,ZH,21
ZH,ZH,9
ZH,ZH,6
ZH,ZH,7
ZH,ZH,6
ZH,ZH,28
ZH,ZH,9
ZH,ZH,13
ZH,ZH,9
ZH,ZH,10
ZH,ZH,25
ZH,ZH,64
ZH,ZH,9
ZH,ZH,130
ZH,ZH,13
ZH,ZH,36
ZH,ZH,1391
ZH,ZH,70
ZH,BE,17
ZH,BE,5
ZH,LU,13
ZH,LU,5
ZH,LU,5
ZH,LU,6
ZH,LU,12
ZH,LU,11
ZH,LU,44
ZH,LU,15
ZH,LU,29
ZH,SZ,13
ZH,SZ,7
ZH,SZ,11
ZH,SZ,12
ZH,ZG,152
ZH,ZG,83
ZH,ZG,30
ZH,ZG,8
ZH,ZG,5
ZH,ZG,43
ZH,ZG,74
ZH,ZG,267
ZH,ZG,6
ZH,SO,12
ZH,BS,12
ZH,BL,12
ZH,SG,8
ZH,SG,10
ZH,AG,8
ZH,AG,6
ZH,AG,30
ZH,AG,5
ZH,AG,14
ZH,AG,9
ZH,AG,11
ZH,AG,7
ZH,AG,13
ZH,AG,9
ZH,AG,10
ZH,AG,9
ZH,AG,6
ZH,AG,51
ZH,AG,55
ZH,AG,6
ZH,AG,66
ZH,TG,8
ZH,ZZ,24
ZH,ZH,124
ZH,ZH,348
ZH,ZH,9
ZH,ZH,36
ZH,ZH,12
ZH,ZH,8
ZH,ZH,28
ZH,ZH,62
ZH,ZH,21
ZH,ZH,23
ZH,ZH,29
ZH,ZH,10
ZH,ZH,6
ZH,ZH,33
ZH,ZH,15
ZH,ZH,15
ZH,ZH,8
ZH,ZH,8
ZH,ZH,16
ZH,ZH,14
ZH,ZH,12
ZH,ZH,11
ZH,ZH,15
ZH,ZH,9
ZH,ZH,5
ZH,ZH,9
ZH,ZH,86
ZH,ZH,51
ZH,ZH,52
ZH,ZH,5
ZH,ZH,87
ZH,ZH,1240
ZH,ZH,89
ZH,BE,13
ZH,LU,10
ZH,LU,14
ZH,LU,16
ZH,SZ,5
ZH,SZ,6
ZH,SZ,8
ZH,ZG,24
ZH,ZG,15
ZH,ZG,14
ZH,ZG,15
ZH,ZG,51
ZH,BS,6
ZH,BL,6
ZH,SG,5
ZH,SG,6
ZH,AG,6
ZH,AG,18
ZH,AG,6
ZH,AG,6
ZH,AG,6
ZH,AG,8
ZH,AG,5
ZH,AG,7
ZH,AG,6
ZH,AG,43
ZH,ZZ,24
ZH,ZH,19
ZH,ZH,82
ZH,ZH,398
ZH,ZH,8
ZH,ZH,29
ZH,ZH,29
ZH,ZH,11
ZH,ZH,5
ZH,ZH,12
ZH,ZH,18
ZH,ZH,12
ZH,ZH,5
ZH,ZH,9
ZH,ZH,37
ZH,ZH,31
ZH,ZH,14
ZH,ZH,15
ZH,ZH,8
ZH,ZH,18
ZH,ZH,17
ZH,ZH,9
ZH,ZH,13
ZH,ZH,11
ZH,ZH,396
ZH,ZH,65
ZH,BE,8
ZH,LU,22
ZH,LU,28
ZH,SZ,7
ZH,SZ,5
ZH,SZ,8
ZH,SZ,16
ZH,NW,7
ZH,ZG,166
ZH,ZG,38
ZH,ZG,8
ZH,ZG,6
ZH,ZG,7
ZH,ZG,16
ZH,ZG,60
ZH,ZG,5
ZH,ZG,110
ZH,BS,7
ZH,SG,5
ZH,AG,5
ZH,AG,7
ZH,AG,22
ZH,ZZ,16
ZH,ZH,10
ZH,ZH,191
ZH,ZH,25
ZH,ZH,308
ZH,ZH,17
ZH,ZH,16
ZH,ZH,9
ZH,ZH,9
ZH,ZH,16
ZH,ZH,27
ZH,ZH,12
ZH,ZH,14
ZH,ZH,18
ZH,ZH,9
ZH,ZH,10
ZH,ZH,6
ZH,ZH,11
ZH,ZH,16
ZH,ZH,7
ZH,ZH,8
ZH,ZH,5
ZH,ZH,11
ZH,ZH,31
ZH,ZH,5
ZH,ZH,55
ZH,ZH,6
ZH,ZH,24
ZH,ZH,742
ZH,ZH,68
ZH,BE,9
ZH,LU,29
ZH,LU,7
ZH,LU,13
ZH,SZ,5
ZH,SZ,9
ZH,ZG,26
ZH,ZG,15
ZH,ZG,15
ZH,ZG,14
ZH,ZG,53
ZH,ZG,8
ZH,SG,6
ZH,GR,5
ZH,AG,11
ZH,AG,6
ZH,AG,6
ZH,AG,5
ZH,AG,11
ZH,AG,5
ZH,AG,42
ZH,ZZ,18
ZH,ZH,24
ZH,ZH,17
ZH,ZH,7
ZH,ZH,122
ZH,ZH,7
ZH,ZH,5
ZH,ZH,5
ZH,ZH,6
ZH,ZH,5
ZH,ZH,5
ZH,ZH,7
ZH,ZH,76
ZH,ZH,32
ZH,LU,6
ZH,LU,12
ZH,SZ,8
ZH,ZG,64
ZH,ZG,10
ZH,ZG,6
ZH,ZG,5
ZH,ZG,14
ZH,ZG,30
ZH,ZG,53
ZH,ZG,6
ZH,AG,15
ZH,ZZ,9
ZH,ZH,50
ZH,ZH,5
ZH,ZH,5
ZH,ZH,155
ZH,ZH,38
ZH,ZH,10
ZH,ZH,5
ZH,ZH,9
ZH,ZH,8
ZH,ZH,5
ZH,ZH,5
ZH,ZH,5
ZH,ZH,7
ZH,ZH,8
ZH,ZH,9
ZH,ZH,184
ZH,ZH,50
ZH,BE,6
ZH,LU,8
ZH,LU,6
ZH,LU,20
ZH,LU,7
ZH,LU,21
ZH,SZ,6
ZH,SZ,6
ZH,SZ,11
ZH,ZG,72
ZH,ZG,52
ZH,ZG,21
ZH,ZG,5
ZH,ZG,18
ZH,ZG,65
ZH,ZG,155
ZH,AG,5
ZH,AG,5
ZH,AG,5
ZH,AG,28
ZH,ZZ,16
ZH,ZH,30
ZH,ZH,7
ZH,ZH,71
ZH,ZH,14
ZH,ZH,5
ZH,ZH,60
ZH,ZH,52
ZH,LU,5
ZH,LU,8
ZH,ZG,18
ZH,ZG,9
ZH,ZG,14
ZH,ZG,27
ZH,ZG,11
ZH,AG,6
ZH,AG,21
ZH,ZZ,8
ZH,ZH,11
ZH,ZH,220
ZH,ZH,14
ZH,ZH,23
ZH,ZH,18
ZH,ZH,10
ZH,ZH,24
ZH,ZH,539
ZH,ZH,36
ZH,ZH,11
ZH,ZH,9
ZH,ZH,6
